USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3386914,,2020-01-25,Carrier,Active,None,Nam Moving,,,7701 Devonwood Ave,Garden Grove,CA,92841,(714) 797-7672,,,7701 Devonwood Ave,Garden Grove,CA,92841,1,2,,Auth. For Hire ,Intrastate  ,Household Goods
3386917,,2020-01-25,Carrier,Not Authorized,None,Working4Ullc,,,830 E Palmdale Blvd Ste 5005,Palmdale,CA,93550,(760) 364-5148,,,830 E Palmdale Blvd Ste 5005,Palmdale,CA,93550,1,1,,Auth. For Hire ,Interstate ,General Freight
3386935,,2020-01-25,Carrier,Not Authorized,None,Trucking Montoya Llc,,,14051 Paramount Blvd,Paramount,CA,90723,(562) 706-5452,,,14051 Paramount Blvd,Paramount,CA,90723,1,1,,Auth. For Hire ,Interstate ,General Freight
3386952,,2020-01-25,Carrier,Active,None,Kirills Delivery Llc,,,2823 Stonegate Dr,Sacramento,CA,95691,(916) 710-9512,,,2823 Stonegate Dr,Sacramento,CA,95691,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386953,,2020-01-25,Carrier,Active,None,Alejandro Guzman,A Guzman Transport,,839 Bird Ave,Stockton,CA,95215,(209) 981-7052,,,839 Bird Ave,Stockton,CA,95215,1,1,,Auth. For Hire ,Intrastate  ,Other
3386965,,2020-01-25,Carrier,Not Authorized,None,Frontier Expedite Inc,,,506 S Spring St Unit 13308,Los Angeles,CA,90013,(323) 638-1800,,,506 S Spring St Unit 13308,Los Angeles,CA,90013,1,1,,Auth. For Hire ,Interstate ,General Freight
3386999,,2020-01-25,Carrier,Not Authorized,None,R Sidhu Trans Inc,,,5509 Black Pearl Ct,Bakersfield,CA,93313,(661) 487-2385,,,5509 Black Pearl Ct,Bakersfield,CA,93313,1,1,,Auth. For Hire ,Interstate ,General Freight
3387015,,2020-01-25,Carrier,Active,None,Jose Alberto Garcia,Joseph-Matthew Transport,,1010 W San Ysidro Blvd Apt 575,San Ysidro,CA,92173,(619) 305-4974,,,1010 W San Ysidro Blvd Apt 575,San Ysidro,CA,92173,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3387022,,2020-01-25,Carrier,Active,None,Floss Enterprises Inc,,,"11834 Gilmore St Unit 16
 N",Hollywood,CA,91606,(818) 966-0440,,,"11834 Gilmore St Unit 16
 N",Hollywood,CA,91606,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3387024,,2020-01-25,Carrier,Active,None,Lorenzo Gomez,Slg Express,,13479 Saratoga Pl,Chino,CA,91710,(323) 559-4418,,,13479 Saratoga Pl,Chino,CA,91710,4,4,,Auth. For Hire ,Intrastate  ,General Freight
3387027,,2020-01-25,Carrier,Not Authorized,None,Jmc Logistics Inc,,,4151 N Blythe Ave Apt 165,Fresno,CA,93722,(909) 678-7174,,,4151 N Blythe Ave Apt 165,Fresno,CA,93722,1,1,,Auth. For Hire ,Interstate ,General Freight
3386921,,2020-01-25,Carrier,Active,None,Goins Transport Llc,,,12303 Gulf Fwy Apt 1602,Houston,TX,77034,(832) 380-1518,,,12303 Gulf Fwy Apt 1602,Houston,TX,77034,1,1,,Auth. For Hire ,Intrastate  ,Motor Vehicles
3386936,,2020-01-25,Carrier,Not Authorized,None,Trammel Time Truckin,,,2828 Saint Martin Dr,Lancaster,TX,75146,(469) 245-2246,,,2828 Saint Martin Dr,Lancaster,TX,75146,2,4,,Auth. For Hire ,Interstate ,General Freight
3386973,,2020-01-25,Carrier,Active,None,C&G Trucking,,,"14006 W County Road 174 14006 W County Road 174
Odessa, Tx   79766-8756",,,,(915) 240-9190,,,"14006 W County Road 174 14006 W County Road 174
Odessa, Tx   79766-8756",,,,2,4,,Auth. For Hire ,Intrastate  ,General Freight
3386976,,2020-01-25,Carrier,Not Authorized,None,Amigos Trucking Llc,,,1654 Jordan Ct,Irving,TX,75061,(972) 971-6007,,,1654 Jordan Ct,Irving,TX,75061,0,4,,Auth. For Hire ,Interstate ,General Freight
3387038,,2020-01-25,Carrier,Not Authorized,None,Expo Transport Llc,,,1101 Fitch Ave Apt 207,Odessa,TX,79761,(432) 438-9879,,,1101 Fitch Ave Apt 207,Odessa,TX,79761,1,2,,Auth. For Hire ,Interstate ,General Freight
