USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3385310,,2020-01-22,Carrier,Not Authorized,None,Jc Freight Express Inc,,,2950 S La Brea Ave,Los Angeles,CA,90016,(310) 505-8288,,,2950 S La Brea Ave,Los Angeles,CA,90016,1,1,,Auth. For Hire ,Interstate ,General Freight
3385311,,2020-01-22,Carrier,Not Authorized,None,Saint-P Logistics Inc,,,441 W 3Rd St Apt 212,San Pedro,CA,90731,(323) 745-9602,,,441 W 3Rd St Apt 212,San Pedro,CA,90731,1,1,,Auth. For Hire ,Interstate ,General Freight
3385312,,2020-01-22,Carrier,Active,None,Bigfoot Delivery Llc,,,10 Cedro Cir,Sacramento,CA,95833,(805) 888-7928,,,10 Cedro Cir,Sacramento,CA,95833,1,14,,Auth. For Hire ,Intrastate  ,General Freight
3385313,,2020-01-22,Carrier,Active,None,D Dart Inc,,,230 N Garfield Ave Ste D12,Monterey Park,CA,91754,(626) 476-4280,,,230 N Garfield Ave Ste D12,Monterey Park,CA,91754,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385315,,2020-01-22,Carrier,Not Authorized,None,Meet Transport Inc,,,18314 Devlin Ave,Artesia,CA,90701,(562) 735-9716,,,18314 Devlin Ave,Artesia,CA,90701,1,1,,Auth. For Hire ,Interstate ,General Freight
3385375,,2020-01-22,Carrier,Not Authorized,None,Fenix Express Transportation Llc,,,433 Plaza Real Ste 275,Boca Raton,FL,33432,(405) 792-6946,,,433 Plaza Real Ste 275,Boca Raton,FL,33432,1,2,,Auth. For Hire ,Interstate ,General Freight
3385465,,2020-01-22,Carrier,Not Authorized,None,Julio Alberto Hernandez,,,9822 Acacia Ave Apt 12,Garden Grove,CA,92841,(714) 862-8163,,,9822 Acacia Ave Apt 12,Garden Grove,CA,92841,1,1,,Auth. For Hire ,Interstate ,General Freight
3385480,,2020-01-22,Carrier,Not Authorized,None,Aps Transport Llc,,,9125 Cerritos Ave Apt 10,Anaheim,CA,92804,(714) 366-8997,,,9125 Cerritos Ave Apt 10,Anaheim,CA,92804,1,1,,Auth. For Hire ,Interstate ,General Freight
3385487,,2020-01-22,Carrier,Not Authorized,None,Gachuzo Group Llc,,,5823 Amethyst Way,Fontana,CA,92336,(714) 720-2386,,,5823 Amethyst Way,Fontana,CA,92336,1,1,,Auth. For Hire ,Interstate ,General Freight
3385507,,2020-01-22,Carrier,Not Authorized,None,Navjot Transport Inc,,,951 Lincoln Rd Apt 5,Yuba City,CA,95991,(206) 471-3829,,,1000 Lincoln Rd Ste H,Yuba City,CA,95991,1,1,,Auth. For Hire ,Interstate ,General Freight
3385533,,2020-01-22,Carrier,Active,None,Meneses Transport Llc,,,24593 Superior Ave,Moreno Valley,CA,92551,(951) 337-5561,,,24593 Superior Ave,Moreno Valley,CA,92551,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385535,,2020-01-22,Carrier,Active,None,Eben-Ezer Eddie Transport Llc,,,5521 N Edenfield Ave,Azusa,CA,91702,(626) 367-8224,,,5521 N Edenfield Ave,Azusa,CA,91702,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385539,,2020-01-22,Carrier,Active,None,Monroy Transport Llc,,,511 E San Ysidro Blvd Apt 1557,San Ysidro,CA,92173,(405) 792-6946,,,511 E San Ysidro Blvd Apt 1557,San Ysidro,CA,92173,1,1,,Auth. For Hire ,Intrastate  ,Other
3385541,,2020-01-22,Carrier,Not Authorized,None,R Vala Trucking Llc,,,8922 Burke Ave,South Gate,CA,90280,(323) 947-7666,,,8922 Burke Ave,South Gate,CA,90280,1,2,,Auth. For Hire ,Interstate ,General Freight
3385548,,2020-01-22,Carrier,Not Authorized,None,Kelvin Dwayne Cooper,Coop'S Trucking,,2242 Middlebury Way,Stockton,CA,95212,(209) 598-9722,,,2242 Middlebury Way,Stockton,CA,95212,1,1,,Auth. For Hire ,Interstate ,General Freight
3385562,,2020-01-22,Carrier,Active,None,Jl Solares Llc,,,10406 Firmona Ave,Inglewood,CA,90304,(310) 864-1640,,,10406 Firmona Ave,Inglewood,CA,90304,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385572,,2020-01-22,Carrier,Not Authorized,None,Lee'S Logistics Inc,,,1138 Glen Abbey Dr,Manteca,CA,95336,(209) 483-8972,,,1138 Glen Abbey Dr,Manteca,CA,95336,1,1,1 (2019),Auth. For Hire ,Interstate ,General Freight
3385574,,2020-01-22,Carrier,Active,None,Urbieta Solutions Llc,,,400 E Manchester Ave,Los Angeles,CA,90003,(323) 691-7021,,,400 E Manchester Ave,Los Angeles,CA,90003,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385589,,2020-01-22,Carrier,Not Authorized,None,Juan Jose Munoz,Jjja Trucking Gp,,7001 Granger Ave,Bell Gardens,CA,90201,(213) 300-6063,,,7001 Granger Ave,Bell Gardens,CA,90201,1,8,,Auth. For Hire ,Interstate ,General Freight
3385625,,2020-01-22,Carrier,Active,None,Escamilla Xpress Llc,,,3262 Flower St,Lynwood,CA,90262,(310) 292-7478,,,3262 Flower St,Lynwood,CA,90262,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385629,,2020-01-22,Carrier,Not Authorized,None,Pridemark Global Inc,,,9420 Lemon Ave,Temple City,CA,91780,(626) 298-5499,,,9420 Lemon Ave,Temple City,CA,91780,1,1,,Auth. For Hire ,Interstate ,General Freight
3385632,,2020-01-22,Carrier,Active,None,Correa Transportation Llc,,,415 De Moreno,Delano,CA,93215,(661) 667-7098,,,415 De Moreno,Delano,CA,93215,1,2,,Auth. For Hire ,Intrastate  ,General Freight
3385637,,2020-01-22,Carrier,Not Authorized,None,Pearls Trucking Inc,,,1595 Capitola Cir,Stockton,CA,95206,(209) 623-9828,,,1595 Capitola Cir,Stockton,CA,95206,1,1,,Auth. For Hire ,Interstate ,General Freight
3385687,,2020-01-22,Carrier,Active,None,Santiago Rojas Trucking Llc,,,13409 Midland Rd Apt 19,Poway,CA,92064,(858) 568-3683,,,13409 Midland Rd Apt 19,Poway,CA,92064,1,1,1 (2019),Auth. For Hire ,Intrastate  ,General Freight
3385689,,2020-01-22,Carrier,Active,None,Aguirres Distribution Inc,,,4924 Compton Ave Unit A,Los Angeles,CA,90011,(323) 983-1384,,,4924 Compton Ave Unit A,Los Angeles,CA,90011,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385706,,2020-01-22,Carrier,Active,None,Taxinastla Trucking Llc,,,9228 Pepper Ave,Fontana,CA,92335,(909) 452-0350,,,9228 Pepper Ave,Fontana,CA,92335,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385724,,2020-01-22,Carrier,Active,None,Ricardo Hernandez Jr,,,2252 Mogul Ave,Santa Maria,CA,93458,(806) 878-5295,,,"Po Box 9023
Santa Maria, Ca   93456-9023",,,,0,1,,Auth. For Hire ,Intrastate  ,General Freight
3385739,,2020-01-22,Carrier,Not Authorized,None,Juan Carlos Serrano,Jcaas Transport,,2550 Ruby Dr,Oxnard,CA,93030,(805) 657-0716,,,2550 Ruby Dr,Oxnard,CA,93030,1,1,,Auth. For Hire ,Interstate ,Motor Vehicles
3385742,,2020-01-22,Carrier,Active,None,Desni Transport Llc,,,1820 Baker Ave,Escalon,CA,95320,(209) 872-9051,,,1820 Baker Ave,Escalon,CA,95320,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385743,,2020-01-22,Carrier,Active,None,Fast Transport Llc,,,334 E 102Nd St,Los Angeles,CA,90003,(323) 437-8956,,,334 E 102Nd St,Los Angeles,CA,90003,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385749,,2020-01-22,Carrier,Not Authorized,None,Yair Medina Avila,Logistica Nortec,,9785 Marconi Dr Ste N,San Diego,CA,92154,(619) 398-5813,,,9785 Marconi Dr Ste N,San Diego,CA,92154,1,1,,Auth. For Hire ,Interstate ,General Freight
3385758,,2020-01-22,Carrier,Active,None,Infinity Moving Llc,Infinity Moving And Transport,,624 Pasture Ave,Lathrop,CA,95330,(408) 306-5408,,,624 Pasture Ave,Lathrop,CA,95330,0,4,,Auth. For Hire ,Intrastate  ,General Freight
3385772,,2020-01-22,Carrier,Active,None,Ramon Reyes Trucking Llc,,,5542 Holmes Ave,Los Angeles,CA,90058,(323) 608-0265,,,5542 Holmes Ave,Los Angeles,CA,90058,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385776,,2020-01-22,Carrier,Active,None,Bk Transportation Inc,,,17409 Citronia St,Northridge,CA,91325,(310) 930-5311,,,17409 Citronia St,Northridge,CA,91325,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385783,,2020-01-22,Carrier,Active,None,Axel David Abaj Bernal,,,4101 Mira Loma Way,San Jose,CA,95111,(408) 679-6360,,,4101 Mira Loma Way,San Jose,CA,95111,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385802,,2020-01-22,Carrier,Active,None,Difaros Transport Llc,,,10506 Columbia Falls Dr,Bakersfield,CA,93312,(626) 407-5965,,,10506 Columbia Falls Dr,Bakersfield,CA,93312,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385804,,2020-01-22,Carrier,Active,None,Sas Transport Inc,,,906 Mcfarland Ave,Wilmington,CA,90744,(310) 283-4047,,,906 Mcfarland Ave,Wilmington,CA,90744,2,5,,Auth. For Hire ,Intrastate  ,Intermodal Cont.
3385806,,2020-01-22,Carrier,Not Authorized,None,Tera Enterprise,,,25205 Cypress St Apt 14,Lomita,CA,90717,(310) 713-7921,,,25205 Cypress St Apt 14,Lomita,CA,90717,1,1,,Auth. For Hire ,Interstate ,General Freight
3385811,,2020-01-22,Carrier,Active,None,Brinkman & Sons Spreading Inc,,,34309 158,Visalia,CA,93292,(559) 799-3846,,,34309 158,Visalia,CA,93292,1,1,,Auth. For Hire ,Intrastate  ,Agricultural/Farm Supplies
3385821,,2020-01-22,Carrier,Active,None,Micael Tesfai Milat,,,4315 Adeline St,Oakland,CA,94608,(510) 283-7727,,,4315 Adeline St,Oakland,CA,94608,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385823,,2020-01-22,Carrier,Active,None,A Jailyn Transport Inc,Double A Hotshot Services,,8701 Grape St,Los Angeles,CA,90002,(323) 323-5091,,,8701 Grape St,Los Angeles,CA,90002,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385824,,2020-01-22,Carrier,Active,None,Carlos Osmin Ramirezzelaya,El Cuervo Express,,2300 Dayton Ave,Bakersfield,CA,93304,(951) 934-1011,,,2300 Dayton Ave,Bakersfield,CA,93304,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385835,,2020-01-22,Carrier,Active,None,Yury A Molina,Camey & Son'S Trucking,,815 S Osage Ave,Inglewood,CA,90301,(310) 344-8870,,,815 S Osage Ave,Inglewood,CA,90301,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3385842,,2020-01-22,Carrier,Active,None,Cjl Logistics Inc,,,28018 Foxlane Dr,Canyon Cntry,CA,91351,(661) 974-9123,,,1700 Santa Fe Ave Ste 206,Long Beach,CA,90813,1,1,,Auth. For Hire ,Intrastate  ,General Freight
