USDOT,MC_no,MCS 150,Entity_type,Operating_status,Out_of_service,Legal_name,Dba_name,Contact_name,Physical_address,Physical_city,Physical_state,Physical_zip,Business_phone,Mobile_number,Email_address,Mailing_address,Mailing_city,Mailing_state,Mailing_zip,Power units,Drivers,Mileage (Year),Operation_classification,Carrier_operation,Cargo_carried
3386447,,2020-01-24,Carrier,Active,None,Julian Javier Hernandez Lopez,,,710 W Southcross Blvd,San Antonio,TX,78211,(832) 447-1828,,,710 W Southcross Blvd,San Antonio,TX,78211,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386496,,2020-01-24,Carrier,Not Authorized,None,James Delgado,Tydeloads,,4755 Wynnview Dr,Friendswood,TX,77546,(877) 659-9442,,,4755 Wynnview Dr,Friendswood,TX,77546,1,1,,Auth. For Hire ,Interstate ,General Freight
3386504,,2020-01-24,Carrier,Not Authorized,None,Nicky Harris,Harris Transport,,428 Swiss Dr Lot 252,Crowley,TX,76036,(555) 555-5555,,,428 Swiss Dr Lot 252,Crowley,TX,76036,1,1,,Auth. For Hire ,Interstate ,General Freight
3386508,,2020-01-24,Carrier,Active,None,Maria Moncada,Moncada Bus Service,,10810 Telephone Rd Trlr 610,Houston,TX,77075,(832) 768-6044,,,10810 Telephone Rd Trlr 610,Houston,TX,77075,1,1,,Auth. For Hire ,Intrastate  ,Passengers
3386519,,2020-01-24,Carrier,Not Authorized,None,Naranjo Trucking Limited Liability Company,,,2718 Copeland Mill Ln,Houston,TX,77047,(405) 792-6946,,,2718 Copeland Mill Ln,Houston,TX,77047,1,1,,Auth. For Hire ,Interstate ,General Freight
3386523,,2020-01-24,Carrier,Not Authorized,None,Silverue Holdings Llc,Silverue Transport,,9006 Almeda Genoa Rd,Houston,TX,77075,(713) 817-7558,,,"Po Box 1522
Pearland, Tx   77588-1522",,,,1,1,,Auth. For Hire ,Interstate ,General Freight
3386524,,2020-01-24,Carrier,Active,None,O I Trucking Llc,,,10003 Sally Grove Ct,Houston,TX,77044,(832) 710-7274,,,10003 Sally Grove Ct,Houston,TX,77044,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386534,,2020-01-24,Carrier,Active,None,Mario Nahum Mejia Sevilla,Mm Movers Vip,,20315 Peralta Cliff Trl,Richmond,TX,77407,(832) 691-9547,,,20315 Peralta Cliff Trl,Richmond,TX,77407,1,401,,Auth. For Hire ,Intrastate  ,Household Goods
3386535,,2020-01-24,Carrier,Not Authorized,None,Neymar Transportation Llc,Ntl,,3901 Arlington Highlands Blvd Ste 200,Arlington,TX,76018,(682) 283-0974,,,3901 Arlington Highlands Blvd Ste 200,Arlington,TX,76018,1,2,1 (2019),Auth. For Hire ,Interstate ,General Freight
3386548,,2020-01-24,Carrier,Active,None,Copeland Trucking Llc,,,2211 Southridge Dr,Denton,TX,76205,(940) 783-3383,,,2211 Southridge Dr,Denton,TX,76205,1,1,1 (2019),Auth. For Hire ,Intrastate  ,Ag Sand Gravel
3386603,,2020-01-24,Carrier,Active,None,Juan Martinez,Jc Dirtworx,,3827 Fawn Creek Dr,Kingwood,TX,77339,(713) 252-4237,,,3827 Fawn Creek Dr,Kingwood,TX,77339,1,1,,Auth. For Hire ,Intrastate  ,General Freight
3386622,,2020-01-24,Carrier,Not Authorized,None,Lriii Transports Llc,,,17350 249 Ste 201651,Houston,TX,77064,(214) 210-0224,,,17350 249 Ste 201651,Houston,TX,77064,1,1,1 (2019),Auth. For Hire ,Interstate ,General Freight
