USDOT,MC_docket#,entity_type,operating_status,out_of_service,legal_name,dba_name,contact_name,physical_address,business_phone,mobile_number,email_address,mailnig_address,power units,drivers,mcs 150,Mileage (Year),operation_classification,carrier_operation,cargo_carried
3333347,,CARRIER,ACTIVE,None,JORGE ALBERTO AGUIRRE CANSECO,,JORGE ALBERTO AGUIRRE CANSECO,"353 MERIDIAN AVE APT 11
SAN JOSE, CA   95126-3417",(669) 254-8956,(669) 254-8956,JORGECANSECO2011@GMAIL.COM,"353 MERIDIAN AVE APT 11
SAN JOSE, CA   95126-3417",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, US Mail, OTHER, "
3333396,,CARRIER,ACTIVE,None,JOSE JUNIOR HIPOLITO,EDS TRUCKING,JOSE JUNIOR HIPOLITO,"801 S ARROWHEAD AVE
SAN BERNARDINO, CA   92408",(909) 888-3425,(909) 888-3425,JOSEHIPOLITO909@GMAIL.COM,"7232 CONEJO DR APT A
SN BERNRDNO, CA   92404-6253",1,2,11/6/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333430,,CARRIER,ACTIVE,None,JOSE LUIS JARACUARO-LAGUNAS,LUIS DELIVERY SERVICES,JOSE LUIS JARACUARO-LAGUNAS,"1427 S PACIFIC AVE
SANTA ANA, CA   92704-3719",(949) 466-5307,(949) 466-5307,LUISDELIVERYSERVICES@GMAIL.COM,"1427 S PACIFIC AVE
SANTA ANA, CA   92704-3719",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333467,,CARRIER,NOT AUTHORIZED,None,KMH INVESTMENTS INC,STAY LOADED LOGISTICS,KMH INVESTMENTS INC,"1845 N SIERRA WAY
SN BERNRDNO, CA   92405",(323) 919-7476,(323) 919-7476,STAYLOADEDLOGISTICS71@YAHOO.COM,"16036 VALLEY BLVD
FONTANA, CA   92335-6432",2,2,9/11/2019,,"Auth. For Hire, ","Interstate, ","General Freight, Fresh Produce, Refrigerated Food, "
3333468,,CARRIER,ACTIVE,None,ARMANDO LOPEZ,,ARMANDO LOPEZ,"9048 RINCON AVE
SUN VALLEY, CA   91352-1718",(818) 203-9726,(818) 203-9726,LOPEZA1215@GMAIL.COM,"9048 RINCON AVE
SUN VALLEY, CA   91352-1718",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333523,,CARRIER,ACTIVE,None,OUTSIDE PLANT CONSTRUCTION LLC,,OUTSIDE PLANT CONSTRUCTION LLC,"2826 PALOMA ST
PASADENA, CA   91107-2743",(626) 710-6977,(626) 710-6977,DJ@OSPCONSTRUCTION.NET,"PO BOX 70013
PASADENA, CA   91117-7013",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, Construction, OTHER, "
3333524,,CARRIER,ACTIVE,None,NAVDEEP S BAINS,ZAILDAR TRANSPORT,NAVDEEP S BAINS,"2337 MADISON AVE
MANTECA, CA   95337-7846",(408) 966-0788,(408) 966-0788,NAVIBAINS408@GMAIL.COM,"2337 MADISON AVE
MANTECA, CA   95337-7846",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333529,,CARRIER,ACTIVE,None,DZNA DELIVERY LLC,,DZNA DELIVERY LLC,"2808 CHAPMAN ST
OAKLAND, CA   94601-2112",(510) 355-4156,(510) 355-4156,KHRISDZNA92@GMAIL.COM,"2808 CHAPMAN ST
OAKLAND, CA   94601-2112",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333530,,CARRIER,NOT AUTHORIZED,None,ASR COMMERCIAL SERVICES INC,,ASR COMMERCIAL SERVICES INC,"564 W GROVE ST
RIALTO, CA   92376",(909) 562-6783,(909) 562-6783,ASRCOMSERVICES@GMAIL.COM,"564 W GROVE ST
RIALTO, CA   92376-4825",1,1,9/11/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3333531,,CARRIER,ACTIVE,None,NAN SHA MENG,SUNNY MOVING COMPANY,NAN SHA MENG,"341 1ST AVE
DALY CITY, CA   94014",(415) 919-7370,(415) 919-7370,MENGNANSHA0806@YAHOO.COM,"341 1ST AVE
DALY CITY, CA   94014",1,2,9/12/2019,1 (2018),"Auth. For Hire, ","Intrastate Only (Non-HM), ","Household Goods, "
3333536,,CARRIER,NOT AUTHORIZED,None,CASTILLOS TRUCK LLC,,CASTILLOS TRUCK LLC,"814 E 85TH ST
LOS ANGELES, CA   90001",(323) 947-5838,(323) 947-5838,LUISVIVE64@YAHOO.COM,"16036 VALLEY BLVD
FONTANA, CA   92335-6432",1,1,9/11/2019,,"Auth. For Hire, ","Interstate, ","General Freight, "
3333541,,CARRIER,ACTIVE,None,JOSEA,,JOSEA,"589 SILVER SHADOW DR
SAN MARCOS, CA   92078-4458",(760) 828-0146,(760) 828-0146,ARREOLA.JOSE1987@GMAIL.COM,"589 SILVER SHADOW DR
SAN MARCOS, CA   92078-4458",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333548,,CARRIER,ACTIVE,None,FRANCISCO J ESQUIVEL ANGELES,FRANK'S TRANSPORTATION SERVICES,FRANCISCO J ESQUIVEL ANGELES,"1026 HEWITT ST
SAN FERNANDO, CA   91340-4033",(818) 581-0437,(818) 581-0437,ESQUIVELFRANKIE@GMAIL.COM,"1026 HEWITT ST
SAN FERNANDO, CA   91340-4033",1,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333605,,CARRIER,ACTIVE,None,LUCAS JON ROSENGARTEN,LAMBOROSE INC,LUCAS JON ROSENGARTEN,"140 W PIONEER AVE SPC 44
REDLANDS, CA   92374-1611",(951) 796-3606,(951) 796-3606,LJR9211@VERIZON.NET,"140 W PIONEER AVE SPC 44
REDLANDS, CA   92374-1611",0,1,9/11/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333609,,CARRIER,ACTIVE,None,S & B TRANSPORT LLC,,S & B TRANSPORT LLC,"2114 SASTRE AVE
S EL MONTE, CA   91733-2650",(626) 456-0128,(626) 456-0128,STANLEYHERNANDEZ88@GMAIL.COM,"2114 SASTRE AVE
S EL MONTE, CA   91733-2650",1,1,10/4/2019,"40,000 (2018)","Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, "
3333624,,CARRIER,NOT AUTHORIZED,None,DEYBY ESTIVE QUIROA,RAPTURE TRANSPORTATION,DEYBY ESTIVE QUIROA,"1304 KELLY ST
BAKERSFIELD, CA   93304",(661) 343-7452,(661) 343-7452,QUIROADAVID@YAHOO.COM,"1304 KELLY ST
BAKERSFIELD, CA   93304-4516",1,1,10/16/2019,1 (2018),"Auth. For Hire, ","Interstate, ","General Freight, "
3333625,,CARRIER,ACTIVE,None,TACHPOR SERVICES INC,,TACHPOR SERVICES INC,"4262 48TH ST
SAN DIEGO, CA   92115-4919",(619) 252-5640,(619) 252-5640,TACHIQUIN@SBCGLOBAL.NET,"4262 48TH ST
SAN DIEGO, CA   92115-4919",1,1,9/12/2019,,"Auth. For Hire, ","Intrastate Only (Non-HM), ","General Freight, OTHER, "
3333721,,CARRIER,ACTIVE,None,ALEX DNEPR CARGO LLC,,ALEX DNEPR CARGO LLC,"2716 OAK RD APT 112
WALNUT CREEK, CA   94597",(510) 424-2431,(510) 424-2431,DNEPR2000372@GMAIL.COM,"22066 BOCA PLACE DR APT 912
BOCA RATON, FL   33433-8412",1,4,10/22/2019,1 (2018),"Auth. For Hire, ","Interstate, ","General Freight, Paper Products, EXPEDITED SHIPME, "
