title,address,phone,years_in_biz,email,website
W. Giovenetti Faye Inc.,"1833 W March Ln, Stockton, CA 95207",(209) 472-7704,29,,http://www.farmersagent.com/fgiovenetti
Winston & Associates Insurance Brokers Inc,"8570 Utica Ave Ste 200, Rancho Cucamonga, CA 91730",(909) 581-7218,28,jill@winstonins.com,http://www.winstonins.com/
Direct Auto Insurance,,(800) 459-2409,28,,https://www.directauto.com/yp/prospecting2?cid=YPL0001&pc=TN&mc=2V&utm_source=YP&utm_medium=sponsored&utm_campaign=national&ph=8004592409
Direct Auto Insurance,,(833) 402-1697,28,,https://www.directgeneral.com/yp/prospecting?cid=YPL0002&pc=TN&mc=2B&ph=8334021697&utm_source=YP&utm_medium=sponsored&utm_campaign=national
American E & S Insurance Brokers,"101 California St, San Francisco, CA 94111",(415) 365-8000,22,denis@aesbrokers.com,http://aa.com/
Western Sentry Insurance Brokers,"6366 Marsha Ave, Simi Valley, CA 93063",(805) 577-8522,17,,http://www.sentry.com/
Rightway Brokers Inc,"5627 N Figarden Dr Ste 115, Fresno, CA 93722",(559) 225-7800,8,raysingh681@yahoo.com,
Statewide Commercial Insurance Broker,"40 N Altadena Dr, Pasadena, CA 91107",(626) 817-9299,,marcelm@st8wide.com,http://www.st8wide.com/
Unavision Insurance Center,"3714 S Mooney Blvd Ste A, Visalia, CA 93277",(559) 734-6777,,,
RDS Insurance Brokers,"165 N Monte Vista Ave, San Dimas, CA 91773",(909) 599-1091,,,http://www.rdsins.com/
State Farm,,(866) 276-1219,,,http://www.statefarm.com/
GEICO Insurance,,(800) 550-5298,,,https://www.geico.com/
Acceptance Insurance,,(800) 284-8401,,,http://www.acceptanceinsurance.com/
Cameo Auto Insurance Services Inc.,"614 W Manchester Blvd, Inglewood, CA 90301",(323) 212-5768,,tyrone@cameoinsurance.com,http://www.cameoinsurance.com/
Acceptance Insurance,"5247 E Kings Canyon Rd Ste 102, Fresno, CA 93727",(559) 500-4188,,1212@acceptanceinsurance.com,http://www.acceptance.com/
GEICO Insurance Agent,"2195 Monterey Hwy Ste 20, San Jose, CA 95125",(408) 286-4342,,BFulk@geico.com,https://www.geico.com/insurance-agents/california/san-jose/brent-fulk/
GEICO Insurance Agent,"1620 E Gonzales Rd, Oxnard, CA 93036",(805) 487-7847,,gmauk@geico.com,https://www.geico.com/insurance-agents/california/oxnard/greg-mauk/
GEICO Insurance Agent,"711 Center Dr, San Marcos, CA 92069",(760) 753-7907,,dagrant@geico.com,https://www.geico.com/insurance-agents/california/san-diego/dawn-grant/
GEICO Insurance Agent,"2340 Monument Blvd Ste B, Pleasant Hill, CA 94523",(925) 676-1111,,DChao@geico.com,https://www.geico.com/insurance-agents/california/san-francisco/dan-chao/
GEICO Insurance Agent,"2711 Canyon Springs Pkwy Suite A-104, Riverside, CA 92507",(951) 786-9477,,wgriffin@geico.com,https://www.geico.com/insurance-agents/california/riverside-county/william-griffin/
Acceptance Insurance,"340 Travis Blvd, Fairfield, CA 94533",(707) 317-6909,,1243@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"973 N Main St, Salinas, CA 93906",(831) 783-5055,,1245@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"240 W East Ave Ste C, Chico, CA 95926",(530) 413-5091,,1207@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"553 El Camino Real, South San Francisco, CA 94080",(650) 238-6315,,1246@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"3033 Bristol St Ste H3, Costa Mesa, CA 92626",(714) 592-0232,,1227@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"3645 Northgate Blvd Ste D-10, Sacramento, CA 95834",(916) 246-6324,,1209@acceptanceinsurance.com,http://www.acceptance.com/
,,,,,
GEICO Insurance Agent,"1220 S El Camino Real, San Mateo, CA 94402",(650) 581-6000,,MZarate@geico.com,https://www.geico.com/insurance-agents/california/san-francisco/marlon-zarate/
Acceptance Insurance,"3475 Sunset Blvd, Rocklin, CA 95677",(916) 660-5461,,1215@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"1680 Countryside Dr, Turlock, CA 95380",(209) 417-5270,,1210@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"2354 Alum Rock Ave, San Jose, CA 95116",(408) 404-8697,,1242@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"708 Colusa Ave, Yuba City, CA 95991",(530) 777-0240,4,1213@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"5411 Florin Rd, Sacramento, CA 95823",(916) 264-9690,,1202@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"9197 Central Ave, Montclair, CA 91763",(909) 451-9233,,1228@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"54 Golf Club Rd, Pleasant Hill, CA 94523",(925) 265-1045,,,http://www.acceptance.com/
Acceptance Insurance,"3144 Broadway Unit C-6, Eureka, CA 95501",(707) 296-1819,,1204@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"120 Hartnell Ave, Redding, CA 96002",(530) 338-0124,,1220@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"5626 Van Nuys Blvd, Van Nuys, CA 91401",(818) 232-9463,,1235@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"1045 E Imperial Hwy, Brea, CA 92821",(714) 831-0944,,1225@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"11310 South St, Cerritos, CA 90703",(562) 263-4432,,1226@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"310 E Huntington Dr Ste D-10, Arcadia, CA 91006",(626) 340-0906,,1224@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"2045 W Briggsmore Ave, Modesto, CA 95350",(209) 284-5540,,1206@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"445 W Weber Ave Ste 136, Stockton, CA 95203",(209) 425-0951,,1218@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"7061 Clairemont Mesa Blvd Ste 204, San Diego, CA 92111",(858) 309-5033,,1233@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"1633 E Hatch Rd Ste F, Modesto, CA 95351",(209) 284-5490,,1214@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"5591 Sky Pkwy Ste 405, Sacramento, CA 95823",(916) 318-0749,,1222@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"12190 Perris Blvd Ste B, Moreno Valley, CA 92557",(951) 363-4225,,1230@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"420 E Hospitality Ln Ste A-4, San Bernardino, CA 92408",(909) 252-7263,,1232@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"2701 E Hammer Ln Ste 108, Stockton, CA 95210",(209) 425-0959,,1223@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"4940 W Century Blvd Ste 2-a, Inglewood, CA 90304",(310) 626-1848,,1229@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"27644 Ynez Rd Ste M-6, Temecula, CA 92591",(951) 228-4225,,1234@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"825 East St Ste 106, Woodland, CA 95776",(530) 207-0098,,1208@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"2140 E Palmdale Blvd Ste O, Palmdale, CA 93550",(661) 349-7782,54,1231@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"3512a Ming Ave, Bakersfield, CA 93309",(661) 489-8617,,1216@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"6350 W Ramsey St, Banning, CA 92220",(951) 381-0879,,1240@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"107 S Harding Blvd Ste I, Roseville, CA 95678",(916) 367-4185,,dmcclain@acceptance.com,http://www.acceptance.com/
Acceptance Insurance,"1660 Broadway Ste 13, Chula Vista, CA 91911",(619) 433-6567,,1239@acceptanceinsurance.com,http://www.acceptance.com/
GEICO Insurance Agent,"5211 Madison Ave, Sacramento, CA 95841",(916) 923-5050,,viharris@geico.com,https://www.geico.com/insurance-agents/california/sacramento/vincent-harris/
Acceptance Insurance,"2560 N Perris Blvd Ste R-1, Perris, CA 92571",(951) 422-2148,10,1241@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"7300 Fair Oaks Blvd, Carmichael, CA 95608",(916) 407-0342,,1201@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"3325 Sonoma Blvd Ste 20, Vallejo, CA 94590",(707) 297-3434,8,1211@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"5665 N Blackstone Ave Ste 100, Fresno, CA 93710",(559) 500-4231,,1217@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"14799 Washington Ave Ste H, San Leandro, CA 94577",(510) 343-9576,,1247@acceptanceinsurance.com,http://www.acceptance.com/
Acceptance Insurance,"6731 Westminster Blvd Ste D103, Westminster, CA 92683",(714) 485-4946,,1238@acceptanceinsurance.com,http://www.acceptance.com/
,,,,,
Acceptance Insurance,"2440 Fulton Ave Ste 14, Sacramento, CA 95825",(916) 407-0165,54,lkoestani@acceptance.com,http://www.acceptance.com/
Acceptance Insurance,"17100 Bear Valley Rd Ste E, Victorville, CA 92395",(760) 694-8846,54,1236@acceptanceinsurance.com,http://www.acceptance.com/
GEICO Insurance Agent,"20026 Hawthorne Blvd, Torrance, CA 90503",(310) 683-6080,,kberger@geico.com,https://www.geico.com/insurance-agents/california/torrance/kevin-berger/
GEICO Insurance Agent,"2720 Calloway Dr Ste E, Bakersfield, CA 93312",(661) 431-1780,,trsmart@geico.com,https://www.geico.com/insurance-agents/california/bakersfield/trenea-smart/
GEICO Insurance Agent,"1400 Camino De La Reina Suite 120/121, San Diego, CA 92108",(619) 321-3789,,aazazzera@geico.com,https://www.geico.com/insurance-agents/california/san-diego/aaron-zazzera/
GEICO Insurance Agent,"2790 Harbor Blvd, Costa Mesa, CA 92626",(657) 357-0131,,dpink@geico.com,https://www.geico.com/insurance-agents/california/los-angeles/dwayne-pink/
GEICO Insurance Agent,"5755 Johnson Dr, Pleasanton, CA 94588",(925) 398-2500,,srowand@geico.com,https://www.geico.com/insurance-agents/california/san-francisco/sang-rowand/
GEICO Insurance Agent,"530 Showers Dr Ste 2, Mountain View, CA 94040",(650) 383-9513,,HiNguyen@geico.com,https://www.geico.com/insurance-agents/california/san-francisco/lana-nguyen/
Alliance Business & Commercial Insurance Services,"163 Yorba St, Tustin, CA 92780",(714) 832-8192,28,abcins@pacbell.net,http://alliancebusinessinsurance.com/
Saferoad Insurance Services,"2150 E South St Ste 113, Long Beach, CA 90805",(562) 367-8616,8,RTesser@crs-clc.com,http://www.saferoadinsurance.com/
Alex Rue Insurance Agency Inc.,"9815 Antelope Rd, Roseville, CA 95747",(916) 800-6371,9,alex@alexrue.com,http://www.alexrue.com/
Brain Hunt Insurance,"5693 Woodruff Ave, Lakewood, CA 90713",(562) 274-7308,,Brian@Brianhuntinsurance.com,
Alliance Business & Commercial Insurance Services,"163 Yorba St, Tustin, CA 92780",(888) 775-9499,,abcins@pacbell.net,http://alliancebusinessinsurance.com/
Prestige Insurance Center,"25381 Alicia Pkwy #G, Laguna Hills, CA 92653",(949) 900-6677,4,info@prestigeinsurancecenter.com,http://www.prestigeinsurancecenter.com/
