title,address,phone,years_in_biz,email,website
Gunslinger Power Wash & Auto Spa,"100% Mobile, El Paso, TX 79936",(915) 841-4799,5,gunslingerpowerwash@gmail.com,
CLEAN CUT XPRESS,,(281) 537-2768,23,officestaffccx@gmail.com,http://www.cleancutxpress.com/
JC'S Automotive Detailing,"14309 Toepperwein Rd, San Antonio, TX 78233",(210) 887-9984,7,jcsautodetailing210@yahoo.com,http://www.jcsautodetailing.net/
Texas Semi Truck & RV Wash,"135 Conrads Ln, New Braunfels, TX 78130",(830) 626-9274,17,texasemitrucksales@gmail.com,http://www.txsemitruckandrvwash.com/
W.E.T. Inc,"4121 McKinney Falls Pkwy, Austin, TX 78744",(512) 389-2822,,,http://www.wet-texas.com/
Washing Equipment of Texas,"1625 Vantage Dr Ste 101, Carrollton, TX 75006",(972) 820-5688,,,http://www.wet-texas.com/
W.E.T. Inc,"14234 Hooper Rd, Houston, TX 77047",(281) 657-0575,,,http://www.wet-texas.com/
,,,,,
Washing Equipment of Texas,"925 W Carrier Pkwy, Grand Prairie, TX 75050",(972) 602-4442,6,,http://www.wet-texas.com/
Washing Equipment of Texas,"1440 Universal City Blvd, Universal City, TX 78148",(210) 404-9456,,,http://www.wet-texas.com/
G & I Auto Detail,"3116 South St, Nacogdoches, TX 75964",(936) 462-1720,17,info@bbbbryan.org,
Soft Suds Auto Spa,"3510 N Big Spring St, Midland, TX 79705",(432) 686-9900,,,http://www.softsudsautospa.com/
Access Detail and Car Wash,"190 S Lhs Dr, Lumberton, TX 77657",(409) 203-3855,16,accessdetail@gmail.com,https://twitter.com/accessdetail
Big Tex Truck Wash & Lube,"3605 Avenue A, Lubbock, TX 79404",(806) 712-1352,12,,http://bigtxtruckwash.com/
Winnie's Car Sparkle Shop,"405 19th St, Lubbock, TX 79401",(806) 763-0770,,winniescarsparkleshop@yahoo.com,https://www.facebook.com/pages/winnies-car-sparkle-shop/169178463097340
Colonial Car Wash,"12810 Westheimer Rd, Houston, TX 77077",(281) 531-9028,32,tlwcarwash@gmail.com,http://www.colonialcarwashtx.com/
Bandera Oaks Car Wash,"12420 Bandera Rd, Helotes, TX 78023",(210) 372-1411,14,jesus@bbcarwash.com,
Monster Car Wash,"2702 W University Dr, Edinburg, TX 78539",(956) 383-9274,13,gilsonadam@ymail.com,http://www.monstercarwash.com/
Power Car Wash,"3019 San Dario Ave, Laredo, TX 78040",(956) 725-0288,12,,
L C Auto Beauty,"602 Mccann Rd, Longview, TX 75601",(903) 758-4122,27,,
J & B Mobile Power Wash,"1006 N Main St, Carrollton, TX 75006",(972) 242-5326,18,,
