title,address,phone,years_in_biz,email,website
Bay Bright Car Wash,"2990 Dowlen Rd, Beaumont, TX 77706",(409) 860-7244,33,lorenav@baybrightcarwash.com,
Main Street Car Wash,"1402 W Main St, Lewisville, TX 75067",(972) 434-1177,21,frontdesk@redwingchamber.com,http://mail.google.com/
America's Car Wash Inc,"7500 S Hulen St, Fort Worth, TX 76133",(817) 349-9991,,,
Main Street Car Wash Inc,"410 Main St, Brownwood, TX 76801",(325) 643-5001,22,cca@chicagocarwash.org,http://mail.google.com/
Expert Auto Detail,"6721 Alder Dr, Houston, TX 77081",(713) 664-7386,20,,
Aqua Car Wash,"4102 College Park Dr, Conroe, TX 77384",(936) 271-3440,17,aquacarwash4102@hotmail.com,http://www.aquacarwash.us/
Nate's Restoration Systems,"3220 W Pinecrest Dr, Marshall, TX 75670",(903) 935-2885,31,,http://www.natesrestoration.com/
Highway 35 Baywash Inc,"1214 Hwy 35 S, Port Lavaca, TX 77979",(361) 746-0774,16,,http://www.marketplacevictoria.com/
Hendon Ultimate Car Wash,"3740 Main Ave, Groves, TX 77619",(409) 962-9274,19,,
B J Car Wash,"4104 Old Jacksboro Hwy, Wichita Falls, TX 76302",(940) 766-3079,,,https://www.localcarwash.net/
SuperShine Car Wash,"600 N Carrier Pkwy, Grand Prairie, TX 75050",(972) 262-3070,,,http://www.supershinecarwashes.com/
Quick Quack Express Car Wash,"1001 E Amarillo Blvd, Amarillo, TX 79107",(806) 372-8844,,info@dontdrivedirty.com,http://www.dontdrivedirty.com/
Julio's PRO Clean Detail Shop,"902 S Mill St, Cleburne, TX 76033",(817) 645-7767,20,,
TNT Car Care,"201 S Mirick Ave, Denison, TX 75020",(903) 465-8711,26,,
D & V's Mobile Auto Wash,"305 W Meredith St, Marshall, TX 75670",(903) 927-2153,14,,
D I Y Carwash,"17401 Kuykendahl Rd, Spring, TX 77379",(281) 251-4515,,,
Laser Wash of Jourdanton,"1102 Oak St, Jourdanton, TX 78026",(830) 769-2362,17,,
Details Unlimited,"3745 Rufe Snow Dr, North Richland Hills, TX 76180",(817) 284-7933,23,,http://www.apolloautodetail.com/
Zip Car Wash,"200 W Veterans Memorial Blvd, Killeen, TX 76541",(254) 634-6300,46,info@thecarwashbarn.com,https://www.zipscarwash.com/
Knees Detail Inc,"1100 Wilson Rd, Conroe, TX 77301",(936) 760-1011,15,,
Simoniz Car Wash,"4017 Center St, Deer Park, TX 77536",(281) 930-9900,24,info@washdepot.com,http://www.cleancarfeeling.com/
Excel Car Wash,"311 S Timberland Dr, Lufkin, TX 75901",(936) 632-1966,27,info@bbbsetexas.org,http://excelcarwashlube.com/
Solo Car Wash,"1203 E Fm 495, San Juan, TX 78589",(956) 223-2636,,,
Johnny Ray's Detail,"2400 Oak St, Abilene, TX 79602",(325) 672-2570,,,
Splash Hand Car Wash 2,"2203 S Shepherd Dr, Houston, TX 77019",(713) 525-5151,11,,http://www.splashhandcarwash.net/
A Personal Touch Detailing,"1317 E Veterans Memorial Blvd, Killeen, TX 76541",(254) 526-2008,12,,
Car Wash USA,"8804 Ohio Dr, Plano, TX 75024",(972) 335-9274,17,,https://www.carwashusaplano.com/
EZ Clean Car Wash,"124 S Peking St, Mcallen, TX 78501",(956) 661-8510,16,,
Splash Hand Car Wash,"8730 Westheimer Rd, Houston, TX 77063",(713) 266-9274,,,http://www.splashhandcarwash.net/
Northside Laundry & Car Wash,"810 N Harborth Ave, Three Rivers, TX 78071",(361) 786-1818,16,,
Nova Wash,"3609 41st St, Lubbock, TX 79413",(806) 438-1383,,,http://www.mistercarwash.com/
Details By Kevin,"203 NE 16th St, Mineral Wells, TX 76067",(940) 325-7309,34,,
Liberty Detail Shop,"1314 Kipling St, Liberty, TX 77575",(936) 336-8611,24,info@bbbsetexas.org,
Affordable Mobile Carwash & Detail Co,"1815 Delgado St, San Antonio, TX 78207",(210) 643-6625,15,,
Houston Wash Center Carwash,"7900 Jensen Dr, Houston, TX 77093",(832) 767-2193,,,
The Finer Details,"5940 N Sam Houston Pkwy E Ste 307, Humble, TX 77396",(281) 233-8245,14,houston@thefinerdetailsofhouston.com,
Mr Clean's Complete Auto Detail,"16887 Lookout Rd, Selma, TX 78154",(210) 651-1590,25,,
Moore Car Wash,"209 S Main St, Seymour, TX 76380",(940) 889-4466,15,,
Turtle Hole Auto Bath,"1133 E South 11th St, Abilene, TX 79602",(325) 672-0307,11,,
Sparkling Carwash,"13180 Pond Springs Rd, Austin, TX 78729",(512) 336-5642,,,http://austincarwash.net/
Seven-Minute Car Wash,"433 S Beckham Ave, Tyler, TX 75702",(903) 592-9871,12,,
Laser Wash,"1380 N 45th St, Corsicana, TX 75110",(903) 641-0780,15,,
Ingram Carwash,"3425 Wurzbach Rd, San Antonio, TX 78238",(210) 647-1939,15,,
Lady Magic Detail Shop,"2928 S Lamar St, Dallas, TX 75215",(214) 421-9414,27,melonielynch2002@yahoo.com,
Pate's Collision,"112 Cobb Mill Rd, Woodville, TX 75979",(409) 283-6183,24,patescollision@yahoo.com,
Crystal Clean Car Wash,"8714 Marbach Rd, San Antonio, TX 78227",(210) 670-8014,14,info@crystalcleanindoorstorage.com,
Jetwash Express Carwash,"2121 N Belt Line Rd, Mesquite, TX 75150",(972) 285-9274,11,sales@gjerstad.com,http://jettexpresscarwash.com/
Big Lou's Carwash,"Dallas, TX 75254",(972) 385-3210,19,cindycollins@gvtc.com,
Manchaca Car Wash,"9503 Manchaca Rd, Austin, TX 78748",(512) 233-4804,16,,http://www.mrsharkyscarwash.com/
Auto Wash Enterprises,"2195 K Ave, Plano, TX 75074",(972) 423-7575,,,
Pepe's Car Wash,"10644 Gateway Blvd N, El Paso, TX 79924",(915) 821-0123,15,,http://www.pepesmexicanfood.com/
Allen's Clean Up Shop,"1017 Yucca Ave, Odessa, TX 79765",(432) 367-5333,26,,
Pro Shine,"524 Vz County Road 1820, Grand Saline, TX 75140",(903) 962-6756,12,,
Oasis Superwash,"2316 W Pecan St, Pflugerville, TX 78660",(512) 989-7337,18,,
Ft Bliss Car Wash,"197 Doniphan Rd, El Paso, TX 79906",(915) 562-4669,,,https://bliss.armymwr.com/
Thumbs Up Detail,"Irving, TX 75014",(214) 632-0845,,,
Big State Water Works,"3122 Garth Rd, Baytown, TX 77521",(281) 422-5167,,,
Big A's Mobile Auto Detailing & Services,"Arlington, TX 76001",(817) 946-3691,,,
L A Detailing,"102 S William St, Victoria, TX 77901",(361) 575-7508,57,,
Montana Detail & Car Wash,"4418 Montana Ave, El Paso, TX 79903",(915) 775-1098,22,,
Willie's Auto Detail,"1111 E Belknap St, Fort Worth, TX 76102",(817) 335-7939,27,,
Rick's Detail Shop,"606 N Center St, Bonham, TX 75418",(903) 583-9768,34,,
,,,,,
Affordable Mobile Carwash & Detail Co,"1815 Delgado St, San Antonio, TX 78207",(210) 643-6625,15,,
Houston Wash Center Carwash,"7900 Jensen Dr, Houston, TX 77093",(832) 767-2193,,,
The Finer Details,"5940 N Sam Houston Pkwy E Ste 307, Humble, TX 77396",(281) 233-8245,14,houston@thefinerdetailsofhouston.com,
Mr Clean's Complete Auto Detail,"16887 Lookout Rd, Selma, TX 78154",(210) 651-1590,25,,
Moore Car Wash,"209 S Main St, Seymour, TX 76380",(940) 889-4466,15,,
Turtle Hole Auto Bath,"1133 E South 11th St, Abilene, TX 79602",(325) 672-0307,11,,
Sparkling Carwash,"13180 Pond Springs Rd, Austin, TX 78729",(512) 336-5642,,,http://austincarwash.net/
Seven-Minute Car Wash,"433 S Beckham Ave, Tyler, TX 75702",(903) 592-9871,12,,
Laser Wash,"1380 N 45th St, Corsicana, TX 75110",(903) 641-0780,15,,
Ingram Carwash,"3425 Wurzbach Rd, San Antonio, TX 78238",(210) 647-1939,15,,
Lady Magic Detail Shop,"2928 S Lamar St, Dallas, TX 75215",(214) 421-9414,27,melonielynch2002@yahoo.com,
Pate's Collision,"112 Cobb Mill Rd, Woodville, TX 75979",(409) 283-6183,24,patescollision@yahoo.com,
Crystal Clean Car Wash,"8714 Marbach Rd, San Antonio, TX 78227",(210) 670-8014,14,info@crystalcleanindoorstorage.com,
Jetwash Express Carwash,"2121 N Belt Line Rd, Mesquite, TX 75150",(972) 285-9274,11,sales@gjerstad.com,http://jettexpresscarwash.com/
Big Lou's Carwash,"Dallas, TX 75254",(972) 385-3210,19,cindycollins@gvtc.com,
Manchaca Car Wash,"9503 Manchaca Rd, Austin, TX 78748",(512) 233-4804,16,,http://www.mrsharkyscarwash.com/
Auto Wash Enterprises,"2195 K Ave, Plano, TX 75074",(972) 423-7575,,,
Pepe's Car Wash,"10644 Gateway Blvd N, El Paso, TX 79924",(915) 821-0123,15,,http://www.pepesmexicanfood.com/
Allen's Clean Up Shop,"1017 Yucca Ave, Odessa, TX 79765",(432) 367-5333,26,,
Pro Shine,"524 Vz County Road 1820, Grand Saline, TX 75140",(903) 962-6756,12,,
Oasis Superwash,"2316 W Pecan St, Pflugerville, TX 78660",(512) 989-7337,18,,
,,,,,
